Date,Open,High,Low,Close,Adj Close,Volume
13-12-2021,1166,1173.449951,1153.25,1159.099976,1106.914551,2225682
14-12-2021,1156,1165.900024,1145.5,1162.349976,1110.018188,1972685
15-12-2021,1158.25,1161.949951,1142.300049,1148.900024,1097.173828,1604301
16-12-2021,1156,1167.900024,1149.550049,1159.75,1107.535156,2121810
17-12-2021,1172,1182.900024,1165,1171.400024,1118.660645,6373455
20-12-2021,1160,1172.349976,1145.5,1159.900024,1107.678589,3091768
21-12-2021,1168.900024,1214.949951,1165.050049,1205,1150.747925,6217986
22-12-2021,1218,1226,1210.099976,1222.800049,1167.74646,3809814
23-12-2021,1229.900024,1230.699951,1215.599976,1227.449951,1172.187012,2814281
24-12-2021,1262.150024,1283.800049,1246.150024,1265.199951,1208.237549,15952929
27-12-2021,1268,1277,1254.050049,1267.199951,1210.147461,3372907
28-12-2021,1270,1289,1270,1283.900024,1226.095703,3446067
29-12-2021,1283,1299,1277.099976,1291.900024,1233.735474,2254162
30-12-2021,1291.900024,1326.449951,1282.699951,1317.050049,1257.753174,4518139
31-12-2021,1320,1329.449951,1308.949951,1319.099976,1259.710815,2231508
03-01-2022,1316.349976,1339.900024,1314.099976,1326.150024,1266.443481,2661272
04-01-2022,1329.5,1336.699951,1307.25,1333.449951,1273.414673,3367100
05-01-2022,1329,1330,1302,1310.75,1251.736694,3510253
06-01-2022,1290,1297.800049,1277,1284.900024,1227.050659,4409632
07-01-2022,1297.550049,1298.5,1282.199951,1290.550049,1232.446289,3898684
10-01-2022,1304.849976,1304.849976,1280,1288.099976,1230.106567,2529949
11-01-2022,1288.650024,1348,1280,1343.650024,1283.15564,6772189
12-01-2022,1354,1357.099976,1331.400024,1352.150024,1291.272949,3162044
13-01-2022,1340,1359.400024,1321.150024,1334.25,1274.178711,4598005
14-01-2022,1320,1342.949951,1293,1337.199951,1276.99585,5636243
17-01-2022,1273,1273,1243.400024,1258.75,1202.077881,11973283
18-01-2022,1269.949951,1269.949951,1217,1219.75,1164.833862,7799487
19-01-2022,1220,1220.5,1191,1199.199951,1145.209106,8464215
20-01-2022,1200,1201.400024,1170,1175.349976,1131.871338,6172404
21-01-2022,1175.349976,1179.849976,1155,1167.949951,1124.744995,5514748
